,TRTALONE,year
211998,195,2020
211999,50,2020
212000,285,2020
212001,915,2020
212002,260,2020
212003,630,2020
212004,400,2020
212005,330,2020
212006,645,2020
212007,220,2020
212008,396,2020
212009,0,2020
212010,852,2020
212011,135,2020
212012,454,2020
212013,205,2020
212014,736,2020
212015,978,2020
212016,290,2020
212017,177,2020
212018,970,2020
212019,380,2020
212020,80,2020
212021,660,2020
212022,585,2020
212023,635,2020
212024,2,2020
212025,130,2020
212026,60,2020
212027,0,2020
212028,210,2020
212029,420,2020
212030,802,2020
212031,222,2020
212032,305,2020
212033,345,2020
212034,130,2020
212035,795,2020
212036,450,2020
212037,205,2020
212038,680,2020
212039,280,2020
212040,110,2020
212041,190,2020
212042,315,2020
212043,825,2020
212044,116,2020
212045,665,2020
212046,520,2020
212047,0,2020
212048,220,2020
212049,50,2020
212050,330,2020
212051,201,2020
212052,100,2020
212053,247,2020
212054,194,2020
212055,0,2020
212056,690,2020
212057,0,2020
212058,160,2020
212059,734,2020
212060,645,2020
212061,670,2020
212062,1020,2020
212063,602,2020
212064,134,2020
212065,145,2020
212066,330,2020
212067,643,2020
212068,814,2020
212069,505,2020
212070,141,2020
212071,410,2020
212072,610,2020
212073,290,2020
212074,20,2020
212075,15,2020
212076,220,2020
212077,165,2020
212078,10,2020
212079,285,2020
212080,905,2020
212081,217,2020
212082,10,2020
212083,615,2020
212084,0,2020
212085,810,2020
212086,20,2020
212087,465,2020
212088,105,2020
212089,435,2020
212090,340,2020
212091,380,2020
212092,305,2020
212093,295,2020
212094,365,2020
212095,40,2020
212096,10,2020
212097,315,2020
212098,260,2020
212099,155,2020
212100,335,2020
212101,110,2020
212102,805,2020
212103,170,2020
212104,313,2020
212105,105,2020
212106,155,2020
212107,27,2020
212108,565,2020
212109,885,2020
212110,500,2020
212111,230,2020
212112,763,2020
212113,300,2020
212114,730,2020
212115,108,2020
212116,70,2020
212117,310,2020
212118,240,2020
212119,50,2020
212120,105,2020
212121,165,2020
212122,300,2020
212123,75,2020
212124,420,2020
212125,17,2020
212126,60,2020
212127,0,2020
212128,15,2020
212129,840,2020
212130,510,2020
212131,115,2020
212132,0,2020
212133,45,2020
212134,140,2020
212135,260,2020
212136,305,2020
212137,255,2020
212138,165,2020
212139,871,2020
212140,320,2020
212141,105,2020
212142,30,2020
212143,490,2020
212144,30,2020
212145,190,2020
212146,75,2020
212147,810,2020
212148,10,2020
212149,230,2020
212150,447,2020
212151,215,2020
212152,180,2020
212153,240,2020
212154,110,2020
212155,360,2020
212156,660,2020
212157,330,2020
212158,10,2020
212159,180,2020
212160,345,2020
212161,493,2020
212162,350,2020
212163,21,2020
212164,90,2020
212165,450,2020
212166,360,2020
212167,60,2020
212168,32,2020
212169,60,2020
212170,1126,2020
212171,330,2020
212172,85,2020
212173,0,2020
212174,260,2020
212175,110,2020
212176,155,2020
212177,207,2020
212178,820,2020
212179,300,2020
212180,50,2020
212181,820,2020
212182,925,2020
212183,320,2020
212184,60,2020
212185,60,2020
212186,110,2020
212187,90,2020
212188,690,2020
212189,420,2020
212190,230,2020
212191,74,2020
212192,300,2020
212193,225,2020
212194,135,2020
212195,161,2020
212196,129,2020
212197,240,2020
212198,254,2020
212199,210,2020
212200,175,2020
212201,540,2020
212202,0,2020
212203,710,2020
212204,135,2020
212205,60,2020
212206,300,2020
212207,340,2020
212208,45,2020
212209,473,2020
212210,201,2020
212211,0,2020
212212,0,2020
212213,0,2020
212214,60,2020
212215,553,2020
212216,135,2020
212217,790,2020
212218,125,2020
212219,300,2020
212220,630,2020
212221,480,2020
212222,750,2020
212223,635,2020
212224,246,2020
212225,440,2020
212226,165,2020
212227,405,2020
212228,648,2020
212229,160,2020
212230,15,2020
212231,900,2020
212232,453,2020
212233,100,2020
212234,45,2020
212235,240,2020
212236,96,2020
212237,0,2020
212238,310,2020
212239,113,2020
212240,150,2020
212241,705,2020
212242,134,2020
212243,157,2020
212244,380,2020
212245,110,2020
212246,120,2020
212247,100,2020
212248,0,2020
212249,0,2020
212250,600,2020
212251,770,2020
212252,0,2020
212253,230,2020
212254,104,2020
212255,80,2020
212256,0,2020
212257,300,2020
212258,182,2020
212259,359,2020
212260,900,2020
212261,380,2020
212262,216,2020
212263,45,2020
212264,431,2020
212265,90,2020
212266,380,2020
212267,121,2020
212268,863,2020
212269,206,2020
212270,225,2020
212271,570,2020
212272,160,2020
212273,190,2020
212274,150,2020
212275,238,2020
212276,550,2020
212277,0,2020
212278,480,2020
212279,55,2020
212280,465,2020
212281,490,2020
212282,0,2020
212283,50,2020
212284,0,2020
212285,838,2020
212286,261,2020
212287,496,2020
212288,270,2020
212289,110,2020
212290,485,2020
212291,525,2020
212292,55,2020
212293,120,2020
212294,5,2020
212295,255,2020
212296,415,2020
212297,207,2020
212298,241,2020
212299,180,2020
212300,150,2020
212301,150,2020
212302,833,2020
212303,489,2020
212304,399,2020
212305,605,2020
212306,385,2020
212307,295,2020
212308,682,2020
212309,570,2020
212310,270,2020
212311,879,2020
212312,430,2020
212313,56,2020
212314,55,2020
212315,203,2020
212316,300,2020
212317,825,2020
212318,175,2020
212319,370,2020
212320,200,2020
212321,660,2020
212322,0,2020
212323,122,2020
212324,62,2020
212325,254,2020
212326,194,2020
